Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  1.171130e+00   1.032313e+02   1.482959e+00
  1.173890e+00   1.015340e+02   1.475934e+00
  1.176650e+00   1.024930e+02   1.485755e+00
  1.179410e+00   1.028170e+02   1.481161e+00
  1.182170e+00   1.011312e+02   1.473637e+00
  1.184930e+00   1.007077e+02   1.475033e+00
  1.187690e+00   1.001167e+02   1.465250e+00
  1.190450e+00   1.005127e+02   1.465042e+00
  1.193210e+00   1.019947e+02   1.466430e+00
  1.195960e+00   9.971440e+01   1.461211e+00
  1.198720e+00   9.918274e+01   1.469162e+00
  1.201480e+00   9.872862e+01   1.437869e+00
  1.204240e+00   1.002148e+02   1.459094e+00
  1.207000e+00   1.017173e+02   1.455748e+00
  1.209760e+00   9.962241e+01   1.468168e+00
  1.212520e+00   1.003252e+02   1.445412e+00
  1.215280e+00   9.835067e+01   1.440732e+00
  1.218040e+00   1.019609e+02   1.458722e+00
  1.220800e+00   1.010405e+02   1.426039e+00
  1.223560e+00   9.761510e+01   1.443332e+00
  1.226320e+00   1.005828e+02   1.440910e+00
  1.229080e+00   1.020813e+02   1.444679e+00
  1.231840e+00   1.008612e+02   1.443251e+00
  1.234590e+00   9.733443e+01   1.421635e+00
  1.237350e+00   9.950862e+01   1.432019e+00
  1.240110e+00   1.006834e+02   1.434963e+00
  1.242870e+00   9.872565e+01   1.428376e+00
  1.245630e+00   1.005821e+02   1.446800e+00
  1.248390e+00   1.009289e+02   1.423145e+00
  1.251150e+00   9.943586e+01   1.431066e+00
  1.253910e+00   9.819556e+01   1.424565e+00
  1.256670e+00   1.004101e+02   1.432727e+00
  1.259430e+00   1.004646e+02   1.429628e+00
  1.262190e+00   9.834824e+01   1.418855e+00
  1.264950e+00   9.909928e+01   1.436908e+00
  1.267710e+00   9.953185e+01   1.404408e+00
  1.270470e+00   9.766147e+01   1.413235e+00
  1.273220e+00   9.936918e+01   1.419342e+00
  1.275980e+00   9.798167e+01   1.417383e+00
  1.278740e+00   9.703068e+01   1.413762e+00
  1.281500e+00   9.640240e+01   1.398075e+00
  1.284260e+00   9.780420e+01   1.404687e+00
  1.287020e+00   9.753704e+01   1.403400e+00
  1.289780e+00   9.717318e+01   1.399636e+00
  1.292540e+00   9.751420e+01   1.403449e+00
  1.295300e+00   9.642654e+01   1.398250e+00
  1.298060e+00   9.531992e+01   1.403199e+00
  1.300820e+00   9.594847e+01   1.398837e+00
  1.303580e+00   9.797325e+01   1.401394e+00
  1.306340e+00   9.653772e+01   1.386540e+00
  1.309090e+00   9.625558e+01   1.390588e+00
  1.311850e+00   9.687983e+01   1.404594e+00
  1.314610e+00   9.702874e+01   1.383914e+00
  1.317370e+00   9.548791e+01   1.381574e+00
  1.320130e+00   9.469817e+01   1.370898e+00
  1.322890e+00   9.942285e+01   1.400223e+00
  1.325650e+00   9.612074e+01   1.386548e+00
  1.328410e+00   9.812436e+01   1.375254e+00
  1.331170e+00   9.846683e+01   1.385954e+00
  1.333930e+00   9.502864e+01   1.371638e+00
  1.336690e+00   9.557908e+01   1.383337e+00
  1.339450e+00   9.719522e+01   1.372564e+00
  1.342210e+00   9.532715e+01   1.365639e+00
  1.344970e+00   9.483903e+01   1.380828e+00
  1.347720e+00   9.522647e+01   1.355577e+00
  1.350480e+00   9.626609e+01   1.374586e+00
  1.353240e+00   9.681312e+01   1.363656e+00
  1.356000e+00   9.491601e+01   1.362560e+00
  1.358760e+00   9.583347e+01   1.373446e+00
  1.361520e+00   9.547125e+01   1.348835e+00
  1.364280e+00   9.269740e+01   1.359721e+00
  1.367040e+00   9.472758e+01   1.356686e+00
  1.369800e+00   9.627224e+01   1.359305e+00
  1.372560e+00   9.408048e+01   1.358189e+00
  1.375320e+00   9.593923e+01   1.348477e+00
  1.378080e+00   9.682001e+01   1.361373e+00
  1.380840e+00   9.168870e+01   1.355678e+00
  1.383600e+00   9.407805e+01   1.376668e+00
  1.386350e+00   9.381696e+01   1.395437e+00
  1.389110e+00   9.116115e+01   1.383200e+00
  1.391870e+00   9.618618e+01   1.418499e+00
  1.394630e+00   9.384448e+01   1.402503e+00
  1.397390e+00   9.174397e+01   1.415140e+00
  1.400150e+00   9.398353e+01   1.404399e+00
  1.402910e+00   9.269665e+01   1.427389e+00
  1.405670e+00   9.264435e+01   1.435739e+00
  1.408430e+00   9.457309e+01   1.425490e+00
  1.411190e+00   9.453060e+01   1.440653e+00
  1.413950e+00   8.959270e+01   1.421282e+00
  1.416710e+00   9.277862e+01   1.447761e+00
  1.419470e+00   9.233398e+01   1.433588e+00
  1.422230e+00   9.360138e+01   1.446363e+00
  1.424980e+00   9.317453e+01   1.455351e+00
  1.427740e+00   9.306697e+01   1.441267e+00
  1.430500e+00   9.115604e+01   1.420023e+00
  1.433260e+00   9.392497e+01   1.410795e+00
  1.436020e+00   9.404923e+01   1.402124e+00
  1.438780e+00   9.011559e+01   1.399750e+00
  1.441540e+00   9.252296e+01   1.380526e+00
